Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,13228,6060,1820,5196,152
Original,8113 (5115; 38.7%),3455 (2605; 43.0%),1552 (268; 14.7%),2991 (2205; 42.4%),115 (37; 24.3%)
Original,8127 (5101; 38.6%),3461 (2599; 42.9%),1552 (268; 14.7%),2999 (2197; 42.3%),115 (37; 24.3%)
Original,8147 (5081; 38.4%),3481 (2579; 42.6%),1552 (268; 14.7%),2999 (2197; 42.3%),115 (37; 24.3%)
Original,8179 (5049; 38.2%),3502 (2558; 42.2%),1552 (268; 14.7%),3009 (2187; 42.1%),116 (36; 23.7%)
Original,8196 (5032; 38.0%),3517 (2543; 42.0%),1552 (268; 14.7%),3011 (2185; 42.1%),116 (36; 23.7%)
Original,8216 (5012; 37.9%),3535 (2525; 41.7%),1552 (268; 14.7%),3013 (2183; 42.0%),116 (36; 23.7%)
Original,8226 (5002; 37.8%),3541 (2519; 41.6%),1552 (268; 14.7%),3017 (2179; 41.9%),116 (36; 23.7%)
Original,8232 (4996; 37.8%),3545 (2515; 41.5%),1552 (268; 14.7%),3019 (2177; 41.9%),116 (36; 23.7%)
Original,8255 (4973; 37.6%),3554 (2506; 41.4%),1555 (265; 14.6%),3030 (2166; 41.7%),116 (36; 23.7%)
Original,8268 (4960; 37.5%),3558 (2502; 41.3%),1555 (265; 14.6%),3039 (2157; 41.5%),116 (36; 23.7%)
Original,8346 (4882; 36.9%),3598 (2462; 40.6%),1563 (257; 14.1%),3068 (2128; 41.0%),117 (35; 23.0%)
Original,8418 (4810; 36.4%),3629 (2431; 40.1%),1567 (253; 13.9%),3104 (2092; 40.3%),118 (34; 22.4%)
Original,8456 (4772; 36.1%),3667 (2393; 39.5%),1567 (253; 13.9%),3104 (2092; 40.3%),118 (34; 22.4%)
Original,8489 (4739; 35.8%),3679 (2381; 39.3%),1568 (252; 13.8%),3124 (2072; 39.9%),118 (34; 22.4%)
Original,8518 (4710; 35.6%),3704 (2356; 38.9%),1568 (252; 13.8%),3128 (2068; 39.8%),118 (34; 22.4%)
Original,8526 (4702; 35.5%),3709 (2351; 38.8%),1568 (252; 13.8%),3131 (2065; 39.7%),118 (34; 22.4%)
Original,8549 (4679; 35.4%),3716 (2344; 38.7%),1572 (248; 13.6%),3143 (2053; 39.5%),118 (34; 22.4%)
Original,8565 (4663; 35.3%),3725 (2335; 38.5%),1572 (248; 13.6%),3150 (2046; 39.4%),118 (34; 22.4%)
Original,8576 (4652; 35.2%),3734 (2326; 38.4%),1572 (248; 13.6%),3152 (2044; 39.3%),118 (34; 22.4%)
Original,8591 (4637; 35.1%),3744 (2316; 38.2%),1572 (248; 13.6%),3157 (2039; 39.2%),118 (34; 22.4%)
Original,8609 (4619; 34.9%),3754 (2306; 38.1%),1572 (248; 13.6%),3165 (2031; 39.1%),118 (34; 22.4%)
Original,8668 (4560; 34.5%),3764 (2296; 37.9%),1574 (246; 13.5%),3212 (1984; 38.2%),118 (34; 22.4%)
Original,8712 (4516; 34.1%),3808 (2252; 37.2%),1574 (246; 13.5%),3212 (1984; 38.2%),118 (34; 22.4%)
