Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1649 (185),134.64402668283807 (-132.88666572318704),461 (8),154.64425162689804 (-152.79137316207928),2284 (81),70.77189141856392 (-69.28373074203115)
Original,1643 (191),136.44735240413877 (-134.68999144448773),461 (8),156.46963123644252 (-154.61675277162377),2277 (88),72.36122090469917 (-70.8730602281664)
Original,1625 (209),138.40123076923078 (-136.64386980957974),458 (11),158.68558951965065 (-156.8327110548319),2266 (99),73.60679611650485 (-72.11863543997208)
Original,1621 (213),140.23812461443552 (-138.48076365478448),458 (11),160.51200873362444 (-158.65913026880568),2266 (99),75.13195057369815 (-73.64378989716538)
Original,1578 (256),140.09980988593156 (-138.34244892628053),458 (11),162.33842794759826 (-160.4855494827795),2247 (118),76.51891410769916 (-75.03075343116639)
Original,1578 (256),141.79119138149557 (-140.03383042184453),458 (11),164.16484716157206 (-162.3119686967533),2247 (118),78.0431686693369 (-76.55500799280412)
Original,1569 (265),143.48884639898023 (-141.7314854393292),458 (11),165.99126637554585 (-164.1383879107271),2247 (118),79.56742323097463 (-78.07926255444185)
Original,1546 (288),145.38615782664942 (-143.62879686699839),458 (11),167.7565502183406 (-165.90367175352185),2240 (125),81.07008928571429 (-79.58192860918152)
Original,1542 (292),147.23346303501947 (-145.47610207536843),449 (20),170.0801781737194 (-168.22729970890063),2215 (150),82.80632054176073 (-81.31815986522795)
Original,1541 (293),148.9422452952628 (-147.18488433561177),449 (20),171.9008908685969 (-170.04801240377813),2215 (150),84.33521444695259 (-82.84705377041982)
Original,1536 (298),150.82161458333334 (-149.0642536236823),449 (20),173.7216035634744 (-171.86872509865563),2215 (150),85.86410835214447 (-84.3759476756117)
Original,1516 (318),153.00395778364117 (-151.24659682399013),444 (25),174.5822072072072 (-172.72932874238845),2215 (150),87.39300225733635 (-85.90484158080358)
Original,1504 (330),155.49335106382978 (-153.73599010417874),442 (27),176.6549773755656 (-174.80209891074685),2213 (152),88.88431992769995 (-87.39615925116718)
Original,1456 (378),158.5164835164835 (-156.75912255683247),439 (30),177.67767653758543 (-175.82479807276667),2028 (337),89.80744575936883 (-88.31928508283606)
Original,1455 (379),160.23024054982818 (-158.47287959017714),424 (45),180.48938679245282 (-178.63650832763406),2020 (345),91.01485148514851 (-89.52669080861574)
Original,1452 (382),161.6473829201102 (-159.89002196045917),422 (47),182.07109004739337 (-180.2182115825746),1958 (407),92.69407558733401 (-91.20591491080124)
Original,1451 (383),163.32736044107511 (-161.56999948142408),422 (47),183.84123222748815 (-181.9883537626694),1910 (455),95.07041884816753 (-93.58225817163476)
Original,1451 (383),165.00964851826328 (-163.25228755861224),415 (54),183.8734939759036 (-182.02061551108486),1910 (455),96.58638743455498 (-95.09822675802221)
Original,1447 (387),166.95715272978578 (-165.19979177013474),408 (61),187.22426470588235 (-185.3713862410636),1864 (501),97.65584763948497 (-96.1676869629522)
Original,1432 (402),169.17248603351956 (-167.41512507386852),399 (70),190.01503759398497 (-188.1621591291662),1813 (552),99.22559293987865 (-97.73743226334588)
