Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,4744,1834,469,2365,76
Original,4475 (269; 5.7%),1622 (212; 11.6%),460 (9; 1.9%),2317 (48; 2.0%),76 (0; 0.0%)
Original,4486 (258; 5.4%),1632 (202; 11.0%),460 (9; 1.9%),2318 (47; 2.0%),76 (0; 0.0%)
Original,4493 (251; 5.3%),1639 (195; 10.6%),460 (9; 1.9%),2318 (47; 2.0%),76 (0; 0.0%)
Original,4568 (176; 3.7%),1676 (158; 8.6%),461 (8; 1.7%),2355 (10; 0.4%),76 (0; 0.0%)
Original,4578 (166; 3.5%),1683 (151; 8.2%),461 (8; 1.7%),2358 (7; 0.3%),76 (0; 0.0%)
Original,4478 (266; 5.6%),1661 (173; 9.4%),461 (8; 1.7%),2284 (81; 3.4%),72 (4; 5.3%)
Original,4466 (278; 5.9%),1649 (185; 10.1%),461 (8; 1.7%),2284 (81; 3.4%),72 (4; 5.3%)
Original,4453 (291; 6.1%),1643 (191; 10.4%),461 (8; 1.7%),2277 (88; 3.7%),72 (4; 5.3%)
Original,4421 (323; 6.8%),1625 (209; 11.4%),458 (11; 2.3%),2266 (99; 4.2%),72 (4; 5.3%)
Original,4417 (327; 6.9%),1621 (213; 11.6%),458 (11; 2.3%),2266 (99; 4.2%),72 (4; 5.3%)
Original,4355 (389; 8.2%),1578 (256; 14.0%),458 (11; 2.3%),2247 (118; 5.0%),72 (4; 5.3%)
Original,4355 (389; 8.2%),1578 (256; 14.0%),458 (11; 2.3%),2247 (118; 5.0%),72 (4; 5.3%)
Original,4346 (398; 8.4%),1569 (265; 14.4%),458 (11; 2.3%),2247 (118; 5.0%),72 (4; 5.3%)
Original,4316 (428; 9.0%),1546 (288; 15.7%),458 (11; 2.3%),2240 (125; 5.3%),72 (4; 5.3%)
Original,4278 (466; 9.8%),1542 (292; 15.9%),449 (20; 4.3%),2215 (150; 6.3%),72 (4; 5.3%)
Original,4277 (467; 9.8%),1541 (293; 16.0%),449 (20; 4.3%),2215 (150; 6.3%),72 (4; 5.3%)
Original,4272 (472; 9.9%),1536 (298; 16.2%),449 (20; 4.3%),2215 (150; 6.3%),72 (4; 5.3%)
Original,4247 (497; 10.5%),1516 (318; 17.3%),444 (25; 5.3%),2215 (150; 6.3%),72 (4; 5.3%)
Original,4231 (513; 10.8%),1504 (330; 18.0%),442 (27; 5.8%),2213 (152; 6.4%),72 (4; 5.3%)
Original,3995 (749; 15.8%),1456 (378; 20.6%),439 (30; 6.4%),2028 (337; 14.2%),72 (4; 5.3%)
