Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,3456 (1312),113.77025462962963 (-112.05926469674372),1718 (101),153.17083818393482 (-151.7398321366561),2032 (451),153.95472440944883 (-152.41485328580808)
Original,3470 (1298),114.98544668587897 (-113.27445675299306),1723 (96),154.14190365641323 (-152.71089760913452),2032 (451),155.43356299212599 (-153.89369186848523)
Original,3481 (1287),116.29704108014938 (-114.58605114726348),1729 (90),155.03152111046847 (-153.60051506318976),2059 (424),154.36425449247207 (-152.82438336883132)
Original,3521 (1247),116.57526270945755 (-114.86427277657164),1731 (88),156.26660889659158 (-154.83560284931286),2074 (409),153.81243972999036 (-152.2725686063496)
Original,3541 (1227),117.57356678904264 (-115.86257685615674),1740 (79),156.8882183908046 (-155.4572123435259),2087 (396),154.36248203162435 (-152.8226109079836)
Original,3543 (1225),119.19093988145639 (-117.47994994857048),1742 (77),158.1239954075775 (-156.69298936029878),2093 (390),155.42737697085522 (-153.88750584721447)
Original,3599 (1169),118.8928869130314 (-117.1818969801455),1742 (77),159.53989667049368 (-158.10889062321496),2100 (383),156.41571428571427 (-154.87584316207352)
Original,3665 (1103),118.34652114597544 (-116.63553121308954),1746 (73),160.59278350515464 (-159.16177745787593),2111 (372),156.5881099005211 (-155.04823877688034)
Original,3697 (1071),119.02623748985664 (-117.31524755697073),1749 (70),161.73156089193824 (-160.30055484465953),2187 (296),152.7251943301326 (-151.18532320649186)
Original,3868 (900),115.31799379524303 (-113.60700386235712),1755 (64),161.75669515669514 (-160.32568910941643),2226 (257),151.57412398921832 (-150.03425286557757)
Original,3895 (873),116.0178433889602 (-114.3068534560743),1755 (64),163.18176638176638 (-161.75076033448767),2226 (257),153.0817610062893 (-151.54188988264855)
Original,4123 (645),111.19197186514674 (-109.48098193226083),1768 (51),162.8054298642534 (-161.37442381697468),2246 (237),152.94122885129119 (-151.40135772765043)
Original,4168 (600),111.72840690978887 (-110.01741697690296),1773 (46),163.78708403835307 (-162.35607799107436),2247 (236),154.3902981753449 (-152.85042705170414)
Original,4303 (465),109.7665582151987 (-108.05556828231279),1781 (38),164.48343627175743 (-163.0524302244787),2322 (161),150.98837209302326 (-149.4485009693825)
Original,4304 (464),111.45074349442379 (-109.73975356153788),1790 (29),165.09217877094972 (-163.661172723671),2334 (149),151.55269922879177 (-150.01282810515102)
Original,4319 (449),112.78571428571429 (-111.07472435282838),1795 (24),166.0718662952646 (-164.6408602479859),2370 (113),150.8 (-149.26012887635926)
Original,4336 (432),114.02064114391143 (-112.30965121102552),1797 (22),167.32609905397885 (-165.89509300670014),2399 (84),150.5191746561067 (-148.97930353246596)
Original,4360 (408),115.1157110091743 (-113.4047210762884),1799 (20),168.5744858254586 (-167.14347977817988),2416 (67),150.99834437086093 (-149.45847324722018)
Original,4375 (393),116.42411428571428 (-114.71312435282837),1799 (20),170.0083379655364 (-168.5773319182577),2436 (47),151.30931855500822 (-149.76944743136747)
Original,4391 (377),117.68002732862674 (-115.96903739574083),1799 (20),171.44219010561423 (-170.01118405833552),2436 (47),152.8425697865353 (-151.30269866289456)
Original,4438 (330),118.15941865705273 (-116.44842872416682),1801 (18),172.68628539700165 (-171.25527934972294),2436 (47),154.3758210180624 (-152.83594989442165)
Original,4443 (325),119.74105334233626 (-118.03006340945035),1801 (18),174.11965574680733 (-172.6886496995286),2436 (47),155.90907224958949 (-154.36920112594873)
Original,4450 (318),121.26685393258427 (-119.55586399969836),1801 (18),175.553026096613 (-174.12202004933428),2436 (47),157.44232348111657 (-155.90245235747582)
Original,4471 (297),122.37027510624021 (-120.6592851733543),1807 (12),176.40315439955728 (-174.97214835227857),2441 (42),158.65813191315036 (-157.1182607895096)
Original,4514 (254),122.88280903854674 (-121.17181910566083),1809 (10),177.63957987838586 (-176.20857383110715),2441 (42),160.19233920524374 (-158.652468081603)
Original,4517 (251),124.5070843480186 (-122.79609441513269),1809 (10),179.06992813709232 (-177.6389220898136),2441 (42),161.72654649733715 (-160.1866753736964)
Original,4527 (241),125.93792798762978 (-124.22693805474387),1810 (9),180.40773480662983 (-178.97672875935112),2441 (42),163.26075378943057 (-161.72088266578982)
Original,4556 (212),126.83582089552239 (-125.12483096263648),1811 (8),181.7448923246825 (-180.31388627740378),2444 (39),164.59676759410803 (-163.05689647046728)
Original,4567 (201),128.22750164221588 (-126.51651170932998),1811 (8),183.1794588625069 (-181.74845281522818),2444 (39),166.13113747954174 (-164.59126635590098)
Original,4584 (184),129.47098603839441 (-127.7599961055085),1811 (8),184.61402540033131 (-183.1830193530526),2445 (38),167.4002044989775 (-165.86033337533675)
Original,4612 (156),130.40112749349524 (-128.69013756060934),1811 (8),186.0485919381557 (-184.617585890877),2445 (38),168.93537832310838 (-167.39550719946763)
Original,4632 (136),131.56001727115716 (-129.84902733827127),1811 (8),187.48315847598013 (-186.05215242870142),2475 (8),167.7521212121212 (-166.21225008848046)
Original,4638 (130),133.10586459680897 (-131.39487466392308),1811 (8),188.91772501380453 (-187.4867189665258),2475 (8),169.29171717171718 (-167.75184604807643)
Original,4674 (94),133.78219940094138 (-132.07120946805549),1811 (8),190.35229155162892 (-188.9212855043502),2476 (7),170.76393376413571 (-169.22406264049496)
Original,4684 (84),135.21605465414177 (-133.50506472125588),1811 (8),191.78685808945335 (-190.35585204217463),2476 (7),172.3037156704362 (-170.76384454679544)
Original,4697 (71),136.55748350010646 (-134.84649356722056),1811 (8),193.22142462727774 (-191.79041857999903),2483 (0),173.3622633910592 (-171.82239226741845)
Original,4715 (53),137.7489925768823 (-136.0380026439964),1811 (8),194.65599116510217 (-193.22498511782345),2483 (0),174.90213451469995 (-173.3622633910592)
Original,4718 (50),139.36593895718525 (-137.65494902429936),1811 (8),196.09055770292656 (-194.65955165564785),2483 (0),176.4420056383407 (-174.90213451469995)
Original,4727 (41),140.81415273958112 (-139.10316280669522),1811 (8),197.52512424075096 (-196.09411819347224),2483 (0),177.98187676198148 (-176.44200563834073)
Original,4737 (31),142.190838083175 (-140.47984815028911),1815 (4),198.5245179063361 (-197.09351185905737),2483 (0),179.52174788562223 (-177.98187676198148)
Original,4760 (8),143.18771008403363 (-141.47672015114773),1815 (4),199.95757575757577 (-198.52656971029705),2483 (0),181.06161900926298 (-179.52174788562223)
Original,4748 (20),145.1898694187026 (-143.47887948581672),1815 (4),201.39063360881542 (-199.9596275615367),2483 (0),182.60149013290373 (-181.06161900926298)
Original,4739 (29),147.14718294998946 (-145.43619301710356),1815 (4),202.8236914600551 (-201.3926854127764),2473 (10),184.77031945006067 (-183.23044832641992)
Original,4728 (40),149.12986463620982 (-147.41887470332392),1815 (4),204.25674931129475 (-202.82574326401604),2463 (20),186.72310190824197 (-185.18323078460122)
Original,4687 (81),151.66247066353745 (-149.95148073065155),1813 (6),205.8880308880309 (-204.45702484075218),2463 (20),188.25822168087697 (-186.71835055723622)
Original,4676 (92),153.6132378100941 (-151.9022478772082),1813 (6),207.3215664644236 (-205.89056041714488),2463 (20),189.79334145351197 (-188.25347032987122)
Original,4671 (97),155.46842217940483 (-153.75743224651893),1813 (6),208.75510204081633 (-207.3240959935376),2463 (20),191.32846122614697 (-189.78859010250622)
Original,4654 (114),157.61506231198967 (-155.90407237910378),1813 (6),210.18863761720905 (-208.75763156993034),2458 (25),193.15012205044752 (-191.61025092680677)
Original,4644 (124),159.6215546942291 (-157.9105647613432),1807 (12),212.26508024349752 (-210.8340741962188),2458 (25),194.68429617575265 (-193.1444250521119)
Original,4601 (167),162.40262986307326 (-160.69163993018736),1805 (14),213.90803324099724 (-212.47702719371853),2458 (25),196.21847030105778 (-194.67859917741703)
Original,4597 (171),164.2338481618447 (-162.5228582289588),1805 (14),215.34459833795015 (-213.91359229067143),2458 (25),197.7526444263629 (-196.21277330272216)
Original,4585 (183),166.39978189749183 (-164.68879196460594),1804 (15),216.8040465631929 (-215.3730405159142),2458 (25),199.28681855166803 (-197.74694742802728)
Original,4553 (215),169.02503843619593 (-167.31404850331003),1803 (16),218.29894620077647 (-216.86794015349776),2455 (28),201.01140529531568 (-199.47153417167493)
Original,4542 (226),170.98623954205195 (-169.27524960916605),1803 (16),219.73128119800333 (-218.30027515072462),2455 (28),202.54541751527495 (-201.0055463916342)
Original,4518 (250),173.3316733067729 (-171.620683373887),1803 (16),221.16361619523016 (-219.73261014795145),2454 (29),204.28219233903832 (-202.74232121539757)
Original,4497 (271),175.633422281521 (-173.9224323486351),1803 (16),222.59595119245702 (-221.1649451451783),2454 (29),205.81540342298288 (-204.27553229934213)
