Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,9179,4768,1819,2483,109
Original,7264 (1915; 20.9%),3413 (1355; 28.4%),1718 (101; 5.6%),2030 (453; 18.2%),103 (6; 5.5%)
Original,7280 (1899; 20.7%),3427 (1341; 28.1%),1718 (101; 5.6%),2032 (451; 18.2%),103 (6; 5.5%)
Original,7309 (1870; 20.4%),3456 (1312; 27.5%),1718 (101; 5.6%),2032 (451; 18.2%),103 (6; 5.5%)
Original,7328 (1851; 20.2%),3470 (1298; 27.2%),1723 (96; 5.3%),2032 (451; 18.2%),103 (6; 5.5%)
Original,7372 (1807; 19.7%),3481 (1287; 27.0%),1729 (90; 4.9%),2059 (424; 17.1%),103 (6; 5.5%)
Original,7430 (1749; 19.1%),3521 (1247; 26.2%),1731 (88; 4.8%),2074 (409; 16.5%),104 (5; 4.6%)
Original,7472 (1707; 18.6%),3541 (1227; 25.7%),1740 (79; 4.3%),2087 (396; 15.9%),104 (5; 4.6%)
Original,7482 (1697; 18.5%),3543 (1225; 25.7%),1742 (77; 4.2%),2093 (390; 15.7%),104 (5; 4.6%)
Original,7545 (1634; 17.8%),3599 (1169; 24.5%),1742 (77; 4.2%),2100 (383; 15.4%),104 (5; 4.6%)
Original,7626 (1553; 16.9%),3665 (1103; 23.1%),1746 (73; 4.0%),2111 (372; 15.0%),104 (5; 4.6%)
Original,7739 (1440; 15.7%),3697 (1071; 22.5%),1749 (70; 3.8%),2187 (296; 11.9%),106 (3; 2.8%)
Original,7955 (1224; 13.3%),3868 (900; 18.9%),1755 (64; 3.5%),2226 (257; 10.4%),106 (3; 2.8%)
Original,7982 (1197; 13.0%),3895 (873; 18.3%),1755 (64; 3.5%),2226 (257; 10.4%),106 (3; 2.8%)
Original,8243 (936; 10.2%),4123 (645; 13.5%),1768 (51; 2.8%),2246 (237; 9.5%),106 (3; 2.8%)
Original,8294 (885; 9.6%),4168 (600; 12.6%),1773 (46; 2.5%),2247 (236; 9.5%),106 (3; 2.8%)
Original,8513 (666; 7.3%),4303 (465; 9.8%),1781 (38; 2.1%),2322 (161; 6.5%),107 (2; 1.8%)
Original,8536 (643; 7.0%),4304 (464; 9.7%),1790 (29; 1.6%),2334 (149; 6.0%),108 (1; 0.9%)
Original,8592 (587; 6.4%),4319 (449; 9.4%),1795 (24; 1.3%),2370 (113; 4.6%),108 (1; 0.9%)
Original,8640 (539; 5.9%),4336 (432; 9.1%),1797 (22; 1.2%),2399 (84; 3.4%),108 (1; 0.9%)
Original,8683 (496; 5.4%),4360 (408; 8.6%),1799 (20; 1.1%),2416 (67; 2.7%),108 (1; 0.9%)
Original,8718 (461; 5.0%),4375 (393; 8.2%),1799 (20; 1.1%),2436 (47; 1.9%),108 (1; 0.9%)
Original,8734 (445; 4.8%),4391 (377; 7.9%),1799 (20; 1.1%),2436 (47; 1.9%),108 (1; 0.9%)
Original,8783 (396; 4.3%),4438 (330; 6.9%),1801 (18; 1.0%),2436 (47; 1.9%),108 (1; 0.9%)
